Security	SEC filings	Ticker symbol	GICS Sector	GICS Sub Industry	Address of Headquarters	Date first added	CIK
Abbott Laboratories	reports	ABT	Health Care	Health Care Equipment & Services	North Chicago, Illinois		1800
AbbVie	reports	ABBV	Health Care	Pharmaceuticals	North Chicago, Illinois	31.12.2012	1551152
ACE Limited	reports	ACE	Financials	Property & Casualty Insurance	Zurich, Switzerland		896159
Accenture plc	reports	ACN	Information Technology	IT Consulting & Services	Dublin, Ireland		1467373
Actavis plc	reports	ACT	Health Care	Pharmaceuticals	Dublin, Ireland		884629
Adobe Systems Inc	reports	ADBE	Information Technology	Application Software	San Jose, California		796343
ADT Corp	reports	ADT	Industrials	Diversified Commercial Services	Boca Raton, Florida	01.10.2012	1546640
AES Corp	reports	AES	Utilities	Electric Utilities	Arlington, Virginia		874761
Aetna Inc	reports	AET	Health Care	Managed Health Care	Hartford, Connecticut		1122304
AFLAC Inc	reports	AFL	Financials	Life & Health Insurance	Columbus, Georgia		4977
Agilent Technologies Inc	reports	A	Health Care	Health Care Equipment & Services	Santa Clara, California		1090872
AGL Resources Inc.	reports	GAS	Utilities	Gas Utilities	Atlanta, Georgia		1004155
Air Products & Chemicals Inc	reports	APD	Materials	Industrial Gases	Allentown, Pennsylvania		2969
Airgas Inc	reports	ARG	Materials	Industrial Gases	Radnor, Pennsylvania		804212
Akamai Technologies Inc	reports	AKAM	Information Technology	Internet Software & Services	Cambridge, Massachusetts		1086222
Alcoa Inc	reports	AA	Materials	Aluminum	New York, New York		4281
Alexion Pharmaceuticals	reports	ALXN	Health Care	Biotechnology	Cheshire, Connecticut	24.05.2012	899866
Allegheny Technologies Inc	reports	ATI	Materials	Diversified Metals & Mining	Pittsburgh, Pennsylvania		1018963
Allegion	reports	ALLE	Industrials	Building Products	Dublin, Ireland	02.12.2013	1579241
Allergan Inc	reports	AGN	Health Care	Pharmaceuticals	Irvine, California		850693
Alliance Data Systems	reports	ADS	Information Technology	Data Processing & Outsourced Services	Plano, Texas		1101215
Allstate Corp	reports	ALL	Financials	Property & Casualty Insurance	Northfield Township, Illinois		899051
Altera Corp	reports	ALTR	Information Technology	Semiconductors	San Jose, California		768251
Altria Group Inc	reports	MO	Consumer Staples	Tobacco	Richmond, Virginia		764180
Amazon.com Inc	reports	AMZN	Consumer Discretionary	Internet Retail	Seattle, Washington		1018724
Ameren Corp	reports	AEE	Utilities	Multi-Utilities & Unregulated Power	St. Louis, Missouri		1002910
American Electric Power	reports	AEP	Utilities	Electric Utilities	Columbus, Ohio		4904
American Express Co	reports	AXP	Financials	Consumer Finance	New York, New York		4962
American International Group, Inc.	reports	AIG	Financials	Property & Casualty Insurance	New York, New York		5272
American Tower Corp A	reports	AMT	Financials	REITs	Boston, Massachusetts		1053507
Ameriprise Financial	reports	AMP	Financials	Diversified Financial Services	Minneapolis, Minnesota		820027
AmerisourceBergen Corp	reports	ABC	Health Care	Health Care Distribution & Services	Chesterbrook, Pennsylvania		1140859
Ametek	reports	AME	Industrials	Electrical Components and Equipment	Berwyn, Pennsylvania	20.09.2013	1037868
Amgen Inc	reports	AMGN	Health Care	Biotechnology	Thousand Oaks, California		318154
Amphenol Corp A	reports	APH	Industrials	Electrical Components & Equipment	Wallingford, Connecticut		820313
Anadarko Petroleum Corp	reports	APC	Energy	Oil & Gas Exploration & Production	The Woodlands, Texas		773910
Analog Devices, Inc.	reports	ADI	Information Technology	Semiconductors	Norwood, Massachusetts		6281
Aon plc	reports	AON	Financials	Insurance Brokers	London, United Kingdom		315293
Apache Corporation	reports	APA	Energy	Oil & Gas Exploration & Production	Houston, Texas		6769
Apartment Investment & Mgmt	reports	AIV	Financials	REITs	Denver, Colorado		922864
Apple Inc.	reports	AAPL	Information Technology	Computer Hardware	Cupertino, California		320193
Applied Materials Inc	reports	AMAT	Information Technology	Semiconductor Equipment	Santa Clara, California		6951
Archer-Daniels-Midland Co	reports	ADM	Consumer Staples	Agricultural Products	Decatur, Illinois		7084
Assurant Inc	reports	AIZ	Financials	Multi-line Insurance	New York, New York		1267238
AT&T Inc	reports	T	Telecommunications Services	Integrated Telecommunications Services	Dallas, Texas		732717
Autodesk Inc	reports	ADSK	Information Technology	Application Software	San Rafael, California		769397
Automatic Data Processing	reports	ADP	Information Technology	Internet Software & Services	Roseland, New Jersey		8670
AutoNation Inc	reports	AN	Consumer Discretionary	Specialty Stores	Fort Lauderdale, Florida		350698
